Start_X,Finish_x,Start_Y,Finish_Y,Num_Px_X,Num_Px_y,Px_Size_X,Px_Size_X
-0.001,0.001,-0.001,0.001,720,720,2.777777777777778e-06,2.777777777777778e-06
-0.002000277854959711,0.002000277854959711,-0.002000277854959711,0.002000277854959711,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.002000277854959711,0.002000277854959711,-0.002000277854959711,0.002000277854959711,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.002000277854959711,0.002000277854959711,-0.002000277854959711,0.002000277854959711,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.002000277854959711,0.002000277854959711,-0.002000277854959711,0.002000277854959711,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.002000555709919422,0.002,-0.002000555709919422,0.002,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.002000555709919422,0.002,-0.002000555709919422,0.002,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.002000555709919422,0.002,-0.002000555709919422,0.002,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.002000555709919422,0.002,-0.002000555709919422,0.002,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.002000555709919422,0.002,-0.002000555709919422,0.002,7200,7200,5.556327374888086e-07,5.556327374888086e-07
-0.008004724924362133,0.008004169214442716,-0.008004724924362133,0.008004169214442716,7200,7200,2.223457519278451e-06,2.223457519278451e-06
-8.03223256537331e-05,7.97666157343154e-05,-8.03223256537331e-05,7.97666157343154e-05,7200,7200,2.2234575192784514e-08,2.2234575192784514e-08
-0.00024042609146454185,0.0002398703815451242,-0.0004005891714425492,0.0004000334615231315,32400,18000,1.4823965216347717e-08,4.447903516476004e-08
